label,text,is_valid
positive,هذا الفيلم هو الأول من ثلاثية المجتمع Miikes الثالوث ، وركلات ثلاثية بداية رائعة. ترتبط الأفلام في الثلاثية فقط بموضوعية ، وتظهر هذه المواضيع في جميع أفلامه ، إذا نظرت إلى حد كافٍ. تتحدث جمعية شينجوكو ترياد عن شرطي يحاول منع شقيقه من التورط مع مجموعة من المتطرفين من الخارج ، ويصارعون طريقهم إلى قمة Tokyos yakuza. شقيق الطفل هو محام ، وأصبحت عصبة ثالوث في حاجة متزايدة لأحدهم ، مع تقدم الفيلم. يتم تصوير الفيلم في بيئة قاسية جدًا ، وبالتالي فهو شديد العنف والصعوبة. لقد فعلت مايكي أسوأ من ذلك ، ولكن بما أن هذا فيلم خطير فإنه يصدمك بشدة. كالعادة هناك أيضا الكثير من الجنس المنحرف ، معظمهم مثليون جنسيا في هذا واحد. الفيلم بطرق عديدة هو فيلم عصابات نموذجي ، ولكن مع محرك رائع وجرأة حقيقية. إذا كنت قد شاهدت فقط أفلام Miikes البعيدة (Ichi القاتل ، Fudoh الخ.) وهذا يستحق التحقق من حيث أنه نوع من حل وسط بين أسلوبه العدواني على أعلى عرض في تلك الأفلام وجانب أكثر خطورة ، كما رأينا في الأفلام الأخرى من ثلاثية. وكما هو الحال دائمًا مع Miike ، هناك مشاهدان على الأقل في هذا الأمر لن تنساه مطلقًا (انظر إلى ذلك ، واعرف أيهما بنفسك). <br /> <br /> 8/10,False
positive,"لقد عرضت هذا الفيلم عدة مرات هنا في الكلية ، وفي كل مرة أريها ، ينمو عدد الأشخاص الذين يشاهدون معي بشكل كبير ... بالإضافة إلى العذارى ، أي شخص سبق لي أن عرضته على NEEDS لرؤيته مرة أخرى! يستغرق الأمر بعض الوقت للوصول إلى ذلك ، ولكن في النهاية ، فإن الغرفة بأكملها تصرخ ، وتصرخ ، وتصرخ ، وتردد المشاهد مرارا وتكرارا ، وتكرر الحوار ، ومجرد تماما وبشكل كامل في التجربة السينمائية التي هي Pia Zadora في ""The Lonely Lady ""! المشهد الذي تم تصويره بعد مشهد من أكثر الأفلام التي تم تصويرها بشكل غير لائق ، وكتب بشكل سيء ، وطرقا مروعة ، تم رميك في هجوم شامل يصنف على أنه الشيء الأكثر نزاعًا الذي أمتلكه (لا يوجد أي بيان صغير أو أصدقاء). بالنسبة لي لا يوجد شيء يقارن 2 ش ، بيا ... وأنا لا أفترض أنني الشخص الوحيد الذي شعر بهذه الطريقة!",False
positive,فيلم غير عادي من رينجو لام وأحد الأفلام التي لا تحظى بالتقدير. مزيج من الخيال الكونغ فو مع تصوير أكثر واقعية من السيوف والرماح التي تقودها من خلال الهيئات هو مفاجئ خاصة خلال الدقائق العشر الأولى. يحصل فرم الخيل على قطعتين ، ويستمر خصره ورجله في ركوب الحصان. يتم تقطيع عدد من الخيول. إنها غير متوقعة للغاية. <br /> <br /> القصة بسيطة للغاية ، فونغ وشقيقوه من شاوولين يتم القبض عليهم من قبل جنون مجنون مهووس وسجنهم في معبد اللوتس الأحمر الذي يبدو أنه أكثر من غرفة التعذيب ثم المعبد. لدى الجنرال تشابه مع كورتز في نهاية العالم الآن وهو يدور فلسفة مشوهة ويخلق لوحات مخيفة بدماء الإنسان. <br /> <br /> الإنتاج مثير للإعجاب للغاية والإعداد قاتمة. الدم في كل مكان. تم تنفيذ هذا الإجراء بشكل جيد للغاية وتماسكه في الغالب بخلاف العديد من المشاهد المتحركة في هونج كونج منذ ذلك الوقت. في بعض الأحيان يتحول الفيلم إلى عبثية أو أن التأثيرات تكون جبنية ولكنها ليست سيئة بما يكفي لإفساد الفيلم. <br /> <br /> ابحث عن هذا ، إنه أحد أفضل أفلام كونغ فو كونغ من أوائل التسعينات. فقط تذكر أنها ليست صديقة للطفل.,False
positive,"هذه دراما نفسية مكتوبة بشكل رائع وفعال. انها ليست حقا نفض الغبار الرعب حتى أولئك الذين يبحثون عن شيء مثل الطوق أو الحقد سيكون بخيبة أمل. ما أدهشني حقًا في هذا الفيلم هو الاهتمام الاستخباراتي الدقيق بالتفاصيل في المؤامرة والجهد المبذول لتكون متسقة داخليًا. أنا أيضا عن تقديره لعدم وجود الدكتور فيل psychobabble أو مراجعة العصر الجديد. بدلاً من تقديم أجندة ، أخبر صانعو الأفلام القصة ، وأخبروها جيداً وسمحوا للمشاهد بالتفكير فيها. كانت الأحلام المتفرقة تذكرنا برسومات وايث وفعالة بشكل مثير للدهشة. <br /> <br /> مثال رائع على كيفية صنع فيلم جيد على ميزانية صغيرة ، بدون استوديوهات كبيرة ، وممثلين نجوم ، ومديري الأسماء الكبيرة (وهذا أفضل بكثير من العديد من أفلام هيتشكوك) ، والمؤثرات الخاصة أو "" ذكي ""التقلبات المؤامرة.",False
positive,إذا وجدت نفسك في حاجة إلى هروب ، شيء سيحظى باهتمامك لمدة ساعتين ويسمح لك بالضياع في عالم آخر ، فإن دومينو سيلبي هذه الحاجة. هذا هو الترفيه ، بعد كل شيء! تحافظ المؤامرة دماغك على الحركة - واحدة من تلك الأفلام (مثل المشتبه بهم المعتادون) حيث تريد رؤيتها مرة ثانية لمعرفة كل شيء. تساءلت عن دومينو هارفي ، كيف أصبحت حياتها تثير اهتمام هوليود. أما بالنسبة للتمثيل ، فإن الكثير من مظاهر المشاهير لا تظهر في المقطورات. وأي ممثل يجعلني أنسى من هم قاموا بعملهم بشكل جيد. لم أفكر مرة واحدة في كيرا في زي كرة القدم أو زي القراصنة. ومنح ، ميكي رورك يلعب ميكي رورك بشكل جيد وكثيرا ، ولكن هنا ، على الرغم من العنف ، فإنه يظهر علامات على قدرته على رعاية الآخرين.,False
negative,كما لو أن القصة لم تكن محزنة بما فيه الكفاية ، هذا الفيلم يعرض الأبقار التي يتم ذبحها بيانياً في مسلخ لمدة خمس دقائق بينما تروي البطل قصة حياتها المبكرة كجزار. اشياء غريبة. ثم هناك الفرضية الأساسية للبطل / البطلة الذي يذهب ويقطع كلامه عن العمل لأنه في العاشرة من عمره مع العمل يقول إنه كان سيذهب معه إذا كان فتاة. هل هذا الشخص مريض نفسي ، وشيشي ، وملك محكوم عليه بالفشل ، يأخذ الأمور بعيدًا جدًا؟ وأي نوع من الطفولة الصادمة لديه؟ فقط أنه لم يتم تبنيها ، وكان عليه أن يعيش بها مع راهبات كانت في البداية تحبه ، ثم كرهته لاحقًا لأنه كان جامداً. يحاول أن يشرح لنا أسباب قيامه بما فعله ، لكن من الصعب للغاية أن نتعاطف معه. هذا الدمار الذاتي حزين وغير عادي. هل كان من المفترض أن يكون مضحكا؟ ما هو كل شيء حقا؟,False
negative,"(ويعرف أيضا باسم: BLOOD CASTLE أو SCREAM OF THE DEMON) <br /> <br /> * spoiler * <br /> <br /> هذه كانت ميزة محرك أقراص ، تمت مشاركتها مع VELVET VAMPIRE. إنتاج إسباني إيطالي مشترك حيث يتم قتل سلسلة من النساء في إحدى القرى في نفس الوقت الذي يتم فيه مشاهدة عدد محلي يدعى يانوس دالمار على ظهر الخيل ، ويقبع خلفه كلبه ""آكل الرجل"". <br /> سكان المدينة يشتبهون بالفعل في أنه وراء كل شيء ويريدون حرق قلعته. بدأت جرائم القتل لأول مرة في الوقت الذي تم فيه إحراق الكونت إيغور دالمار شقيق الكونت يانوس الأكبر وقتلته في حادث مختبر. <br /> <br /> ثم استعانت امرأة إيفانا (إيرنا شوير) بأن إيغور استأجر قبل وفاته للمساعدة له في تجاربه تظهر. يانوس يوافق على توظيفها بدلا من أخيه ويبحثان معا عن صيغ لتجديد الخلايا الميتة. يانوس يريد إعادة جثة إيغور المتفحمة إلى الحياة. <br /> <br /> لكن بالطبع لا يزال إيغور على قيد الحياة (على الرغم من حرقه بشكل مروع) والمطاردة وقتل النساء في القرية. نرى وجهه المحترف يظهر في نقاط مختلفة من الفيلم ، لذلك نعرف أنه لا يزال على قيد الحياة ، مما يجعل كل شيء يبدو واضحًا إلى حد ما. <br /> <br /> يلتقي إيغور بنهاية نارية أخرى عندما يدخل قتال مع يانوس على إيفانا ، مع سقوط الشموع المحترقة على نفس السرير الذي يتعثر فيه إيغور ، وتلبية آخر نهاية نهائية مشحونة. <br /> <br /> أُخذ قرص دي في دي Retromedia من مصدر VHS ويبدو محببًا وسيئًا تمامًا. بخلاف مقطورة خدش حتى ، يتم تضمين أي إضافات أخرى. على الرغم من أنه يحتوي على قلعة إسبانية زاحفة لطيفة وأجواء جيدة ، إلا أنني وجدت أنها مملة ويمكن التنبؤ بها ، دون إثارة أو غموض ، على الإطلاق. <br /> <br /> 3 من 10.",False
negative,لطالما أحببت أفلام سبايك لي ، لكن هذا الفيلم كان مضيعة إجمالية لمدة ساعتين ونصف. كنت أتوقع المزيد عن ابن سام ، وبدلاً من ذلك حصلت على فيلم يبدو أنه لا علاقة له بعمليات القتل التسلسلي عام 1977. كان الكلب الناطق مضحكا (أنت تعرف أنك في ورطة عندما انفجر كل رعاة الفيلم في الضحك بشكل غير لائق). بدا الفيلم كله مفككا جدا وغير مثير للاهتمام. كانت المشاهد الجنسية لا علاقة لها بالمؤامرة. أنا لا أعارض الجنس في الأفلام ، ولكن يجب أن يكون هناك نقطة (ما لم يكن فيلم XXX). وبشكل عام ، شعرنا بخيبة أمل كبيرة في هذا الجهد سبايك لي !!,False
positive,فيلم رائع حقا وقصة حقيقية. دان يانسن أعظم متزلج على الإطلاق. فيلم مؤثر وجميل يمكن للعائلة بأكملها الاستمتاع به. قصة معركة جين يانسن مع السرطان ودان يانسن الحب لأخته. من وعد مهم قدمه يانسن للفوز بميدالية ذهبية لإثبات أن شقيقته جين كانت على حق في الاعتقاد بأن موهبته في التزلج السريع لها ما يبررها. هذه الصورة تستحق الوقت. أتمنى أن يصنعوا المزيد من الأفلام من هذه النوعية. أشكركم على فيلم رائع مع ممثلين ممتازين وقصة ممتازة. إنها قصة مؤثرة للغاية حول دعم عائلي جميل وإيمان لأطفالهم وحلم خاص لابنهم الأصغر وأخته.,False
positive,الأب والابن التواصل القليل جدا. في الواقع يتكلمون لغات مختلفة. عندما يحضر الابن والده 3000 ميل لحجته إلى مكة المكرمة ، تجري المحادثات في النهاية. إنها صعبة وضرورية للنمو على كلا الجزأين. <br /> <br /> يأخذنا هذا الفيلم إلى قلوب هذين المسافرين ، وهو في الواقع رحلة عظيمة للجمهور بالإضافة إلى المديرين. الصور في جميع أنحاء مثيرة للإعجاب ، لا سيما المشاهد النهائية في مكة المكرمة. وهذا يؤكد لي مرة أخرى مدى الاختلاف الذي يمكن أن يكون عليه العالم ، ولكن أيضا في نفس الوقت ، مدى التشابه. وينطبق الشيء نفسه على الأب والابن في هذا الفيلم. <br /> <br /> شاهد هذا الفيلم. أخبر أصدقاءك برؤيته. عليك أن تكون سعيدا فعلتم.,False
positive,"واجهت هذا العرض لأول مرة عندما كنت أقيم في اليابان لمدة ستة أشهر في العام الماضي. لقد وجدت ذلك في الإنترنت عندما كنت أبحث عن مسرحيات درامية لمساعدتي مع ياباني. حذرتني والدتي المضيفة من الابتعاد عنها لأنها اعتقدت أنها غريبة ، لكني وجدت أنها ممتعة! أظهر Koyuki مثل هذه الصفات الشخصية المتضاربة وروح Matsujun جعلت يومي كل مرة أنا ضبطها في! رأيته لأول مرة على ""هانا يوري دانغو"" ، لكني أحبته أفضل بكثير في هذا الأمر. <br /> <br /> على الرغم من أن الشخصيات مثيرة للاهتمام ومتطورة ، شعرت بخيبة أمل لأنهم لم يتغيروا الكثير طوال العرض. نمت علاقتهم ، لكنهم لم يفعلوا ذلك. ومع ذلك ، كان وقت ممتع من قبل الجميع (حتى بالنسبة ل Fukushima!).",False
negative,كان هذا الفيلم قطعة غبية من الفضلات. كل شيء سيء لماذا يتم تهويل نحن الذين نحب الأفلام الغربية تسعة من أصل عشرة مرات عند استئجار الغربيين. يبدو أنك إذا لم ترَ أسماء مثل روبرت دوفال ، أو كيفن كوستنر ، أو توم سيليك تعلق على الغلاف ، فلا يستحق الأمر العبث به. بالنسبة للجزء الاكبر كان العمل الرئيسي لشيلوه فولز في عام 1892 ، ومع ذلك كانت المسدسات المستخدمة نماذج 1860s. حتى أن إطلاق النار كان سيئًا - ففي أحد المشاهد ، قام المشير بتشكيل ستة مطلق النار له تسع مرات ولم يتمكن من ضرب أي من الرجال الثلاثة الكبار الذين كانوا على بعد حوالي 20 قدمًا فقط. اضطررت إلى إيقاف تشغيله بعد حوالي 15 دقيقة من هذا الجنون. ربما كان من شارك في هذا الفيلم قد أخذ بعض الدروس في مدرسة الغروب كارسون.,False
