text,label
الاسلام نعمه كبيره من عند ربنا لا تقدر بكنوز الدنيا كلها,Positive
الاسلام هو حسن الخلق الا تعرف بان الحبيب صلى الله عليه سلم لقب امينا قبل نزول الوحي,Positive
الاعتداءات على المعلمين والاطباء ... جرائم لا تقبل اي تبرير,Negative
الاكل زاكي كثير كثير,Positive
الانكسار من اسوء الاشياء,Negative
الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين,Positive
الباقيين سخافه سماجه,Negative
البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل,Negative
البرنامج فاشل جدا,Negative
البسمه سر من اسرار الحياه,Positive
البقاء في الخيال دمار,Negative
البنزين يجي من السعوديه باقل الاسعار الحكومه عندنا تدبل سعره,Negative
البيت اللي فيه فرح سعاده دايما بكون متفائل سعيد بحاضره مستقبله,Positive
التخلف بعين امه وعين ابو في جامعات الاردن والزعرنه والفساد والفسق والعشق الممنوع,Negative
التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله,Negative
التفائل حلو في الحياه بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل,Positive
التنفس العميق يوفر علاج طبيعي للصداع ,Positive
الثقه بالله ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضيه,Positive
"الجمال : ليس فقط شيئا نراه بل هو شيء نكتشفه ، روح جميله ، وفكر جميل ، اخلاق جميله ، وادب جميل",Positive
"الجنه تحت اقدام الامهات , اللهم اجعل امهاتنا من نساء الجنه",Positive
الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم,Negative
الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفه فى الوجود,Positive
الحب الحقيقي عمله نادره فعلا وهو نعمه كبيره من الله عزوجل,Positive
الحب بين الزوجين اوسع ابواب السعاده,Positive
الحب في الله شيء جميل جدا,Positive
الحريه غاليه لن تجدها عند متسول اخواني ساذج لايملك منطق ولافكر,Negative
الحق عالحقير اللي نزل المنشور بجوز اهله لابسين منهم ولك لاتنزل اشي زي هيك يا ,Negative
الحق مش على لجنه التحكيم الحق على الاغبيه المشتركين,Negative
الحكم سيئ  ,Negative
الحكومه قاعده بتخبص رايحين يدمروا البلد الله ينتقم منهم,Negative
الحل الوحيد حب الله ورسوله وطاعتهم,Positive
الحل الوحيد هو القرب من الله وذكره الا بذكر الله تطمئن القلوب قال الله تعالى,Positive
الحلال بين و الحرام بين واتقوا الله,Positive
الحمد الله على الاسلام يا رب اهدي كل من احب هذا الدين وكل من تردد في دخوله وارحمنا جميعا,Positive
الحمد انا متفائله جدا في كا امور حياتي ورح اضل هيك دائما,Positive
الحمد لله اصبح على وجهك المشرق كل يوم,Positive
الحمد لله اكسجين يعيد للصدر انفاسه ف تجدها الصوت السعيد الصوت المتئاكل من البكاء,Positive
الحمد لله الحمد لله الحمد لله حمدا شاكرا ففضلك ربي,Positive
الحمد لله الذى لا يُحمد على مكره سواه,Positive
الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع,Positive
الحمد لله الذي رزقني بالاسلام,Positive
الحمد لله الذي نصرنا نصرا مبين,Positive
الحمد لله رب العالمين على عطاه رضا,Positive
الحمد لله على نعمه الاسلام وكفى يها نعمه,Positive
الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء الضراء,Positive
الحمد لله على نعمه العقل و سعه الفهم و نضوج الفكر,Positive
الحمد لله كلما ارى ناس اسلموا تعم الفرحه في قلبي,Positive
الحمد لله ما اكرمك يا الله,Positive
الحمد لله نامل من الله ان يمن علينا بالهدايه,Positive
الحمدلله الذي هدانا لهذا وما كنا لنهتدي لوﻻ ان هدانا الله . ﻻ اله اﻻ الله محمد رسول الله,Positive
الحمدلله زادت ثقافتي لكثير من الاشياء وتنوعت المفاهيم لدي,Positive
الحمدلله على السلامه وماتشوف شر .. طهور وقدامك العافيه ان شاء الله,Positive
"الحمدلله على كل حال، الفرصه قائمه، والقادم اجمل",Positive
الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه,Positive
الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين,Positive
الحياه مستمره سواء ضحكت ام بكيت,Negative
الخشوع احساس جميل جد امام الله القلب يحب الدمع صافي متعه بعد الصلاه راحه فائقه اتمنى لكل المسلمين هذا الخشوع,Positive
الخشوع امر مهم جــدا في الصلاه,Positive
الخشوع هو المرحله التاليه للتركيز والتركيز ياتى باطاله القراءه والتدبر واطاله الركوع والسجود,Positive
الدال على الخير كفاعله,Positive
الدعوه مش بالكلام بس ممكن نكون دعاه باخلاقنا اسلوبنا تعاملنا,Positive
الدول المتقدمه الان تتجه لستخدام الطاقه المتجدده لانها اقل كلفه وليس لها مخاطر على البيئه والانسان ونحن الان نعاني من ضائقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدى حاجه المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدوله الاكثر تطور في مجال التكنولوجيا وهي عباره عن جزر وكذلك كم اثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد,Negative
الدين عباره عن اخلاق وحسن التعامل مع الناس وتهذيب النفس قبل ما يكون مجموعه من العبادات !,Positive
الدين ليس بالمظاهر الدين المعامله حياء وادب واحترام وانتقاء للالفاض الطيبه,Positive
الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع,Positive
الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان,Negative
الرائع سيظل رائعا حتى نهايه العمر,Positive
الروح و المال تفداك يا قلبي,Positive
الزعل بدايه الطريق للامراض,Negative
السعي وراء الرزق عباده و جهاد,Positive
السلام عليكم الحقيقه انا لا اعرف شو وقاحه هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما,Negative
السهر احد مسببات مرض السكر,Negative
الشعب الذي اختار نواب خرجين سجون سوابق بستاهل اكثر من هيك مشان 50 دينار الله لا يرد هيك شعب,Negative
الشو اسمو ستار اكاديمي ولا المسخره عل العالم اكاديمي,Negative
الصادق ينتظر الفرج ولا يياس من روح الله,Positive
"الضغوط النفسيه لها تاثير في النهايه ، سمعت قصه عن اشخاص انتحروا بسبب تعليقات ساخره ضدهم.",Negative
الطاقه الشمسيه هي البديل وليست الطاقه النوويه,Negative
الظاهر انه جايين يستهبلون عالحكام بس,Negative
الظاهر اهلها مفقعين وجهها قبل ما تجي ومغطيه الفلعات,Negative
الظاهر عقلك تافه من اصحاب العقول المقفله,Negative
العالم العربي مليان عاهات,Negative
العاهات اللي عندهم ياناس روحو موتو اشرف,Negative
العجوز هذا والرجال الي بجنبه بله واغبياء وانهم يثبطون الواحد,Negative
العرب مو بتاع هي الشغلات لاكن نحن فاشلين الله معطينا كل متطلبات التحظر والتطور لاكن نحن لازقين بهلتفاهات ونضن انو هي التحظر,Negative
العرق كل شوي يزيد,Negative
العنصريه في الاردن لا تتوقف على كلمه اردني وفلسطيني وانما تتجاوزت ذلك الى تصنيف ابناء الوطن الواحد وفقا للعشيره وهذا اسوء حال وصلنا له,Negative
الغباء واضح,Negative
"الغرب فسق وعائلات مفككه والنساء عاهرات،المدارس تعلم الجنس للاطفال يشربون الكحول وياكلون لحم الخنزير ثم يقول: وجدت في الغرب اسلام بلا مسلمين",Negative
الغلط مو من المشاركين الغلط من نفس البرنامج المفروض تكون فى مرحله فرز فى البدايه قبل لا يطلعو الهواء,Negative
الغموض لغه لا يتكلم بها الا من ذاق متاعب الدنيا,Negative
الف الف مبروك يستاهل والله يوفقكم,Positive
الف مبروك تخرج ابناء الظفير من الكليه العسكريه الملكيه من الاردن,Positive
الفاتحه علي ارواح الغلابه,Negative
الفاشل من يياس ويقف عند اول حاله رسوب,Negative
الفلاكا تجعل من يتناولها يعتقد انه زومبي واكل لحوم البشر ويبدا بالبحث عن دم ليشربه وظهرت في التسعينات في امريكيا ثم اختفت,Negative
الفن اصبح هابط هذه الايام,Negative
القتل نهايه الزوجه اللعوب,Negative
القدوه الحسنه خير من النصيحه,Positive
القلب الذي يؤمن بالله  لا يياس ابدا  لانه يسير نحو النور واﻷمل .. والحياه ..,Positive
الك يوم يا ظالم,Negative
الكرامه فوق كل شيء,Positive
الللجنه ما تنطاق,Negative
اللمه هي احلى اشي بالافراح,Positive
الله احفظ احبابي اصدقائي من الحسد الكيد الفتنه العين,Positive
الله اخترت اسم غالى على قلبى قوى ربنا يثبتك على دين الاسلام اخترت صح بجد,Positive
الله اكبر شو هيدا اكل الرجال,Negative
الله اكبر ما احلاكم وما اشجعكم,Positive
الله اكبر ما من دابتن الا على الله رزقه,Positive
الله اكبر والعزه للسلام,Positive
الله اكبر ولله الحمد مصر بخير فيها ناس كتير طيبين,Positive
الله اكرم الاكرمين اللهم اعنا على انفسنا واللهم ارضى عنك يارب العالمين,Positive
الله الكلام الجميل,Positive
الله الله الله يحفظك يا مملكه الانسانيه لم تقتصر مساعده السوريين في الاردن علي المعونات الغذاييه او الطبيه بل حتي شنط مدارس الاطفال بكل شي,Positive
الله الله على اخلاق الصحابه اصحاب رسول الله,Positive
الله الله عليك يا استاذ عمر بارك الله لك بارك عليك جزاك الله عنا خيرا كثير,Positive
الله المستعان على كل ظالم فليس باليد حيله غير ان نقول لا حول ولا قوه الا بالله,Positive
الله ايه الجمال ده سبحانك ربي,Positive
الله حيك شيخ ابراهيم بالفعل حكم يا نشمي,Negative
الله حيهم هالشباب انتوا القدوه,Positive
الله خيرا من الدنيا وماء فيها و ما عليها السلام عليكم ورحمه الله تعالى وبركاته اخواني واخواتي,Positive
الله على الظالمين,Negative
الله على الكلام يا رب اعينا,Positive
الله على دينا العظيم,Positive
الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين,Positive
الله عليك يا شيخ تحفه,Positive
الله غلى المسلمين فى توادهم وتراحمهم,Positive
الله لا يحرم حدا من العائله الدافيه والذريه الصالحه,Positive
الله لا يخلف عليهم لا يكثر خيرهم فعلن شعب مسكين عبد الله النسور بطل رفع الاسعار,Negative
الله لا يرفعه من مكانه اللي برفع الاسعار,Negative
الله لا يشبعكو يا حراميه,Negative
الله لا يشبعكو يا ظلمه انشاء الله كلو بتلقو بالاخره يا ظلمه خافوالله طبعا اذا بتعرفوالله,Negative
الله لا يعطي العافيه ولا الصحه للاخوان المفلسين,Negative
الله لا يوفقكم محد يخاف علي من البرد,Positive
الله ما يحرمنا من كلماتك الحلوه يا شيخنا,Positive
الله وكيلك مشحطط اهل دابوق دير غبار عبدون منعم على الفقراء,Negative
الله يا ريت كنا في ذاك الزمن,Positive
الله ياريت يبقى فى اخلاق كده فى الوقت ده,Positive
الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك,Positive
الله يبارك لنا فى ايامنا,Positive
الله يتقبل صلاتنا,Positive
الله يتمم افراح الجميع يا رب,Positive
الله يثبت قلبك على ديننا الاسلام,Positive
الله يثبتك ينور طريقنا,Positive
الله يثبته يا رب ويثبتنا نحن كمان,Positive
الله يجعل ابوك وامك من اهل النار اذا بتعيد هالحركه مره ثانيه,Negative
الله يحمي البلد من كل مخرب والله يعطيكي العافيه رجال الامن العين السهره على حمايه البلد من اصحاب النفس المريضه انتم النشامى,Positive
الله يخزيك,Negative
الله يخزيكم عند امن الوطن مافي سلطي ولا كركي ولا طفيلي الاردن فوق الجميع قالوا بنحبك يا وطن رد عليهم الوطن بغصه حبوا بعضكم اول,Negative
"الله يخلف علينا بس ، يقال لا فقر اكثر من الجهل ولا غنى افضل من العقل !!",Negative
الله يرحم هلبلاد من الحراميه والمتسلقين على قوت الشعب لك الله ياشعبنا,Positive
الله يرحمنا برحمته,Positive
الله يرزقها كل مشتهي يا رب,Positive
الله يرفعهم الى جهنم جنب القذافي باسرع وقت لان الظلم زاد عن حده,Negative
الله يزيدك من العلم ما تنتفع به الامه,Positive
الله يسامحك حبيبتي افهمتيني غلط,Negative
الله يستر على بنات المسلمين جميعا,Positive
الله يسعد كل البشر امين يا رب,Positive
الله يسعدك يبعد عنك كل شر,Positive
الله يشافيك يعافيك من كل داء وهامه اخي سيد الوكيل,Positive
الله يصبحك برضاه,Positive
الله يعطيك الصحه العافيه,Positive
الله يفرح الكل ويجمع بين المتحابين على خير,Positive
الله يفضح امكم فضحتونا شو هالسخافه,Negative
الله يكتر من امثالك يارب,Positive
الله يكثر الافراح,Positive
الله يكون في عون الفقير الطبقه المتوسط سوف تنحدر اكثر اكثر,Negative
الله يلعن الي علمكم التطور يا متخلفين يا رجعيين,Negative
الله يلعن ام هيك نمر,Negative
الله يلعن امك وش ها القرف,Negative
الله يلعنك,Negative
الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقه ولا زبي تفو,Negative
الله ينتقم منه حمزه منصور واعوانه حسبنا الله فيهم,Negative
الله ينتقم منهم اجمعين اللي في بالي,Negative
الله يهدي التائهين والضالين الى طريقه,Positive
الله يهدي الجميع للاسلام,Positive
الله يهدي النفوس ربي ابعث لنا في هذا اليوم فرح يغير ايامنا وينعش قلوبنا من جديد,Positive
الله يوخذكم,Negative
الله يوفقكم والله يجعلكم تفوزون كلكم معنا قولوا  امين ,Positive
اللهم ابعد عنى شهوات الدنيا وقربنى منك واغفر لى ولكل المومنين,Positive
اللهم اتم علينا مكارم الاخلاق,Positive
اللهم اجعل سريرتي خير من على نيتي اجعل على نيتي صالحه,Positive
اللهم اجعل لنا ايمانا صادقا قلبا خاشعا علما نافعا,Positive
اللهم اجعلنا دائما مسلمين صادقين في افكارنا في اعمالنا,Positive
اللهم اجعلنا ممن تنظر اليهم بحب اشتياق اجعلنا من عبادك التوابين المخلصين العابدين الحق لدينك احفظنا قنا نار وقودها الناس الحجاره يا رب,Positive
اللهم اجعلنا ممن ياخذون بالاسباب,Positive
اللهم اجعلنا ممن يعطي الامانه حقه,Positive
اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون,Positive
اللهم اجعلنا من يتمتعون بروح و ريحان و جنه النعيم من الرحمن صباحكم قطرات من ندى الازهار,Positive
اللهم اجعلنا منهم وارزقنا الطاقه ولاراده لزللك ياربى,Positive
اللهم اجعلنى خيرا مما يظنون اغفر لي ما لا يعلمون,Positive
اللهم اجعلني مقيم الصلاه من ذريتي,Positive
اللهم اجعلني من يتشرف به الاسلام,Positive
اللهم احسن خواتيم اعمالنا اجعل كل اوقاتنا طاعه,Positive
اللهم احفظني بحفظك حسبي الله لا قوه الا بك,Positive
اللهم احينا وامتنا على الاسلام وعلى كلمه لا اله الا الله,Positive
اللهم اذقنا حبا رائعا حلالا طاهر,Positive
اللهم ارزق ابناء المسلمين زوجات صالحات وبنات المسلمين ازواج صالحين,Positive
اللهم ارزقنا الاخلاص في القول العمل في السر العلن في الرخاء الشده في العافيه المرض عند الابتلاء,Positive
اللهم ارزقنا السلامه العافيه في ديننا دنيانا,Positive
اللهم ارزقنا الصحبه الصالحه,Positive
اللهم ارزقنا الصدق الاخلاص,Positive
اللهم ارزقنا الصدق في طلب الاخلاص والاخلاص في طلب الصدق واجمع لنا بينهما بعفوك وقدرتك يا الله,Positive
اللهم ارزقنا العمل الصالح الذريه الصالحه ارزقنا يا الله حسن الخاتمه,Positive
اللهم ارزقنا ان نكون مثلهم,Positive
اللهم ارزقنا رزقا حلالا تغننا به عن حرامك,Positive
اللهم ارزقنا فعل الخيرات وترك المنكرات,Positive
اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي يهدينا اياكي,Positive
اللهم ارزقنا من خيري الدنيا الاخره ارزقنا حسن الخاتمه ارزقنا الفردوس الاعلى مع من نحب ارزقنا لذه النظر الى وجهك الكريم,Positive
اللهم ارزقنا واياك الجنه,Positive
اللهم ارزقني حبك حب من احبك حب عمل يقربني لحبك,Positive
اللهم ارزقني كما ترزق البغاث,Positive
اللهم ارضنا بما قسمته لنا,Positive
اللهم ارضنا و ارضى علينا,Positive
اللهم ارنا الحق حقا ارزقنا اتباعه ارنا الباطل باطلا ارزقنا اجتنابه,Positive
اللهم ارنا فيهم عجيب صنعك فانهم اذلو الشعوب,Negative
اللهم استخدمنا في طاعتك,Positive
اللهم استرنا وجميع بنات المسلمين,Positive
اللهم اسمعنا خير هذا اليوم و ما بعده و افتح لنا ابواب رزقك و رحمتك,Positive
